Hour,PreStructuralLoadMW,StructuralLoadMW,PreStructuralAvgLMP,StructuralAvgLMP,DeltaAvgLMP,PreStructuralCurtailmentMW,StructuralCurtailmentMW
1,47742.5,47742.5,2.99956832915095,2.999568329150947,-3.1086244689504383e-15,34623.42912201157,34632.80731507907
2,46867.5,46867.5,2.9999999999999987,2.9999999999999987,0.0,24490.3391765865,24490.33917658653
3,45798.0,45798.0,2.9999999999999982,3.0,1.7763568394002505e-15,26478.890770297436,26483.23379412672
4,44624.25,44624.25,2.9999999999999987,2.9999999999999987,0.0,24005.931348869737,24041.54312406481
5,43626.25,43626.25,3.000000000000001,3.000000000000002,1.3322676295501878e-15,24702.9262298795,24691.388489835255
6,43839.25,43839.25,3.000000000000011,2.999999999999997,-1.4210854715202004e-14,24910.70094462848,25119.713088058583
7,43176.25,43176.25,3.0000000000021636,2.9999999999999982,-2.1653789872289053e-12,29062.75997766547,29072.634462958977
8,43525.0,43525.0,3.0000000000000084,3.0000000000000004,-7.993605777301127e-15,30531.63955174466,30531.791973543823
9,45659.75,45659.75,2.999999999999943,3.0000000000000004,5.728750807065808e-14,30515.551159081922,30477.193991970333
10,47681.25,47681.25,2.999999999999995,2.9999999999999987,3.552713678800501e-15,28690.839717400882,28757.951571798967
11,50088.5,50088.5,2.999999999999994,3.0000000000000018,7.993605777301127e-15,32509.000537510292,32838.52555526255
12,52089.5,52089.5,2.9999999999999747,3.0000000000000013,2.6645352591003757e-14,32741.973630940964,32746.069871665946
13,53127.5,53127.5,3.000000000000006,2.999999999999999,-7.105427357601002e-15,34619.6024317111,34493.68255098652
14,51858.75,51858.75,3.0000000000000044,3.0000000000000036,-8.881784197001252e-16,37478.83199567821,37241.96580420132
15,50763.0,50763.0,3.0000000000000075,3.0000000000000013,-6.217248937900877e-15,38367.505463680376,38544.16694140235
16,51838.25,51838.25,3.0000000000000844,2.9999999999999956,-8.881784197001252e-14,41097.06875588237,41515.14493220702
17,53930.25,53930.25,3.000000000000001,2.999999999999999,-1.7763568394002505e-15,38658.618242687284,38575.250373478535
18,55772.75,55772.75,3.0000000000000084,3.000000000000002,-6.217248937900877e-15,39911.24319825494,40103.44646796819
19,55924.25,55924.25,2.999999999999998,2.9999999999999973,-4.440892098500626e-16,38632.087128399275,38610.917744647704
20,54756.75,54756.75,3.000000000000006,3.0,-6.217248937900877e-15,37815.79456851719,37803.4297491393
21,52526.75,52526.75,2.9999999999999982,3.0000000000000018,3.552713678800501e-15,39270.834795167204,39386.95551409693
22,50686.25,50686.25,3.00000000000001,3.0000000000000018,-8.43769498715119e-15,38015.16491010033,37903.151834584605
23,48596.25,48596.25,3.0000000000000013,3.0,-1.3322676295501878e-15,36226.06158723292,35687.688390077594
24,46002.0,46002.0,2.9999999999999956,3.000000000000004,8.43769498715119e-15,37199.5744742583,37154.922666660095
25,44101.75,44101.75,3.0000000000000053,3.0000000000000013,-3.9968028886505635e-15,34220.357190168004,34818.22604629101
26,42051.75,42051.75,2.999999999999999,3.0000000000000013,2.220446049250313e-15,34261.834125449575,34893.16668741107
27,41235.5,41235.5,2.9999999999999982,2.999999999999996,-2.220446049250313e-15,31359.877603927565,31882.258977987167
28,41547.75,41547.75,3.0000000000000027,3.0000000000000027,0.0,29988.831083786612,29357.576482021734
29,42063.25,42063.25,3.000000000000084,2.999999999999999,-8.482103908136196e-14,25559.856090634992,25228.027839873364
30,44062.0,44062.0,2.999999999999887,3.0000000000000004,1.1324274851176597e-13,21702.699873079306,20781.02334992239
31,49523.25,49523.25,3.000000000000004,2.9999999999999964,-7.549516567451064e-15,17275.4631461024,17028.915067658527
32,53621.5,53621.5,6.082316809000843,4.700169732797395,-1.3821470762034478,8327.305456603315,7907.605266954489
33,57052.25,57052.25,11.132996731433082,11.071979557841981,-0.06101717359110026,5014.660273628202,4860.468905455258
34,59258.75,59258.75,12.312195725282349,12.29634170998337,-0.015854015298979007,3386.996476134225,3346.008136741682
35,59895.5,59895.5,12.679391268044458,12.46545368287693,-0.21393758516752825,2292.721313703318,2291.308411201929
36,60934.25,60934.25,12.679372577119347,12.465349774149507,-0.2140228029698399,2062.0871099339934,2060.751307937938
37,61627.25,61627.25,12.679384192791634,12.46527694849178,-0.2141072442998535,1958.460625755327,1957.3147166219171
38,61145.75,61145.75,12.64456871038884,12.440936097729676,-0.203632612659165,1954.2162382716863,1953.0426655661042
39,59869.0,59869.0,12.641902128334737,12.44669854978315,-0.19520357855158643,1771.9419730232614,1770.6345420281757
40,59601.0,59601.0,12.641672893401452,12.446551338871062,-0.19512155453038993,1742.9912311026283,1741.7395660573115
41,60663.25,60663.25,12.641062571902467,12.446118715780099,-0.19494385612236798,1896.3622364291373,1895.0338501009232
42,62804.0,62804.0,12.629270168102362,12.440809357023658,-0.18846081107870383,2236.813480813002,2235.521923299087
43,62897.5,62897.5,12.629451886424317,12.406966996702486,-0.22248488972183011,2360.277641841295,2380.7040556200172
44,61916.5,61916.5,12.502983642685818,12.404388899040363,-0.09859474364545484,3050.688097598431,3068.632785473965
45,58895.75,58895.75,11.932923197387295,11.582218261165517,-0.3507049362217778,3521.829399457539,3470.672951518638
46,56334.0,56334.0,11.98497423999004,12.098946609695043,0.11397236970500302,3452.0637931313863,3391.00648221194
47,54131.25,54131.25,11.920479039043201,11.570260764523221,-0.35021827451998,3666.122073827884,3494.276664763746
48,50779.75,50779.75,10.363347591148845,11.198690269342647,0.8353426781938023,3941.266842457024,3740.760332449234
49,47627.25,47627.25,7.31996358981637,7.288267130067636,-0.03169645974873436,4223.510671211525,3958.7101135753114
50,45932.75,45932.75,7.290357111093375,7.230088896485441,-0.06026821460793386,4407.854471380952,4423.294971190388
51,45574.5,45574.5,7.295801485581007,7.1270715243825755,-0.16872996119843187,5163.937088449644,5221.8435549268825
52,45858.25,45858.25,7.28883832255405,7.121329752443299,-0.16750857011075126,5668.959629387901,5394.73456070486
53,47150.75,47150.75,7.291468568642971,7.090701214623234,-0.200767354019737,6696.065169602728,6301.840103722413
54,49193.5,49193.5,7.290682511789632,7.090057991044213,-0.2006245207454196,7759.342923496502,7128.118586145401
55,52651.75,52651.75,7.28789132882229,7.10909957000303,-0.17879175881926024,9073.34208732687,8490.005890210301
56,56063.0,56063.0,7.492213911643175,7.1817345500923,-0.3104793615508745,9877.379638528824,9149.419243594233
57,59124.25,59124.25,7.724077433927747,7.533543862814768,-0.19053357111297942,11584.376875402319,11125.05029770252
58,60690.5,60690.5,7.79688506252305,7.547897211973776,-0.2489878505492742,12342.616664257712,11815.49817080013
59,61872.75,61872.75,7.588088518777379,7.4306719877715635,-0.15741653100581576,12553.779926899735,12005.814756432015
60,62822.75,62822.75,7.023133739135191,6.851524257997028,-0.1716094811381632,13268.992675035344,12840.602862926797
61,63411.25,63411.25,7.36162694261663,7.047075302442261,-0.3145516401743693,13195.24369473517,12763.132620226515
62,62371.5,62371.5,7.387602317167735,7.065231550608496,-0.3223707665592386,12885.563105390058,12382.71232217456
63,62047.25,62047.25,7.581679995033012,7.425341258612499,-0.15633873642051288,12735.857509658885,12205.241278962798
64,62152.5,62152.5,7.690232052027184,7.513353845338162,-0.17687820668902265,12069.977971653134,11649.903076031145
65,63092.25,63092.25,9.083307848293305,8.920190376550943,-0.16311747174236224,11112.43102769345,10645.932579794264
66,65362.5,65362.5,10.688561607231112,10.568297719393483,-0.12026388783762876,9393.422168948135,9213.462070619298
67,64411.0,64411.0,10.77808542183055,10.562855452231455,-0.21522996959909513,8154.964431701054,7820.672187774274
68,62884.0,62884.0,10.69954783156574,10.560416592601397,-0.13913123896434243,8493.164415368401,8205.218185315944
69,60086.0,60086.0,9.868794446838782,10.289086865795657,0.4202924189568744,8853.587499142606,8488.27238627095
70,58169.25,58169.25,9.438806334635439,9.172430692672227,-0.2663756419632115,9197.608152837693,8699.430271598178
71,55472.5,55472.5,8.235182205387952,7.975444389763486,-0.2597378156244661,7448.18647957507,7090.409269847718
72,52747.0,52747.0,9.670111225038532,9.800054659063044,0.12994343402451136,5785.216333799581,5587.207003401039
73,50248.0,50248.0,7.274987072681091,7.122547625798187,-0.15243944688290423,5149.339885262085,5043.175710254633
74,48370.25,48370.25,7.275220264159456,7.12275844283297,-0.15246182132648567,4527.965672309895,4554.9409275397
75,46209.25,46209.25,7.283750913957407,7.233928369594465,-0.04982254436294209,3024.2576429890855,3092.0074475862107
76,45090.5,45090.5,7.806974125529728,7.7930477127356985,-0.01392641279402973,1908.2580983729345,1847.225466789435
77,44312.25,44312.25,8.705953579611382,8.40841509245374,-0.29753848715764164,1520.8748405447536,1519.5495698762084
78,44039.5,44039.5,12.630964491201231,12.252679476712473,-0.3782850144887586,1234.3197324994767,1234.3197324994767
79,45085.25,45085.25,27.836854008061316,28.21574152290476,0.37888751484344496,1114.7280415140185,1114.7280415140185
80,47136.75,47136.75,30.68756184108529,30.755228131700502,0.06766629061521101,1022.1536510567654,1022.1536510567654
81,50506.5,50506.5,32.81076214623375,32.42296592055988,-0.38779622567386696,1008.5082127603474,1008.5082127603474
82,53599.75,53599.75,32.93338819929508,32.48900817763966,-0.44438002165541945,1062.788337704273,1062.1335766207717
83,55556.25,55556.25,32.93497141131756,32.49012004730682,-0.444851364010745,1087.8966588542369,1087.264706342549
84,57751.25,57751.25,32.9729329724223,32.50825691344404,-0.4646760589782559,1204.5947797338636,1203.9122671444297
85,58111.75,58111.75,32.97333283334322,32.5264810535623,-0.4468517797809213,1126.1792825735797,1125.5553098313508
86,57128.25,57128.25,32.98037641626533,32.5338310581173,-0.446545358148029,1155.599394864187,1154.9427922954255
87,56241.25,56241.25,32.99662798118329,32.54788736481658,-0.44874061636670604,1098.7056286916002,1098.0545828853772
88,56504.5,56504.5,32.98533897233627,32.529995547795615,-0.4553434245406578,1046.166530310359,1045.508506244204
89,58277.25,58277.25,32.97465836447076,32.52008202792074,-0.4545763365500193,1103.1847164119417,1102.4689278607964
90,60529.5,60529.5,32.955607659589035,32.50241496962329,-0.45319268996574635,1154.8486078206013,1154.0981379637303
91,60559.5,60559.5,32.95860371278053,32.5050606608142,-0.45354305196632794,1215.840485246733,1215.0503103831209
92,58881.0,58881.0,32.95569274644452,32.508831610750136,-0.4468611356943839,1275.1816616530568,1274.3528317523694
93,55581.0,55581.0,32.95700420313842,32.5100954423777,-0.4469087607607207,1244.667900549441,1243.8589069987445
94,53295.75,53295.75,30.750056156591633,30.94941718384625,0.1993610272546178,1252.0762187429534,1251.262395331795
95,52317.25,52317.25,31.528011181290378,31.438632132847157,-0.0893790484432202,1228.7222924362402,1227.9236370484055
96,49241.0,49241.0,28.279781573584426,28.305395992850915,0.025614419266489108,1168.9791386046054,1168.9791386046054
97,46652.0,46652.0,29.964136903374875,29.989637952485978,0.025501049111102958,1051.880343722516,1051.1967003965192
98,43846.75,43846.75,11.996432316117147,11.982852514575596,-0.013579801541551362,1030.1672172912893,1030.1672172912893
99,42539.25,42539.25,12.0,11.999999999999998,-1.7763568394002505e-15,989.9781312783532,989.9781312783532
100,41942.25,41942.25,13.891097477115816,13.046535727648678,-0.8445617494671378,900.1884425058013,900.1884425058013
101,41672.25,41672.25,16.722243934422007,16.799888687322284,0.07764475290027661,933.4706839113129,933.4706839113129
102,42087.25,42087.25,16.727291774589293,16.805499055819322,0.07820728123002851,1100.9318364050596,1100.9318364050596
103,43356.0,43356.0,16.733776456042026,16.81270638634766,0.07892993030563389,1315.4074293179604,1315.4074293179604
104,44689.25,44689.25,8.847695258414126,8.84642947600708,-0.00126578240704589,1666.421186165764,1665.7329984917842
105,47733.0,47733.0,7.269891315953556,7.619868967359924,0.34997765140636794,2581.84649301045,2485.446382832375
106,51815.0,51815.0,9.598234457096284,9.049249529921482,-0.5489849271748017,3577.7156561947227,3434.6204867263345
107,54402.0,54402.0,9.731830582808257,9.86815000065107,0.1363194178428131,5215.238929215703,5008.301293966336
108,57258.75,57258.75,10.524735326308,10.607065913378094,0.08233058707009278,6288.476524773311,6100.764422339941
109,57776.0,57776.0,10.490300863559192,10.496941224644356,0.006640361085164415,7186.494099950806,7008.9363693619825
110,56015.25,56015.25,7.240383643944746,7.141851664702106,-0.09853197924264023,9126.082938513522,8827.631800725554
111,55069.25,55069.25,6.51655874890264,5.950503260620594,-0.5660554882820463,10370.147335545722,10133.825767032462
112,55472.25,55472.25,5.617878575309028,4.5028220928730205,-1.1150564824360076,11601.515057365556,11545.228228619562
113,57815.75,57815.75,3.5607212172127727,2.9999999999999973,-0.5607212172127753,13841.476905432415,13864.947460859625
114,59953.25,59953.25,4.828093412876168,2.9999999999999987,-1.8280934128761692,14636.400515197223,14631.112757375526
115,60078.75,60078.75,4.835174051584195,2.999999999999997,-1.835174051584198,14803.55574675013,14774.377619559507
116,58186.0,58186.0,2.9999999999999987,2.999999999999996,-2.6645352591003757e-15,15918.820672042915,15918.82067204292
117,55508.25,55508.25,3.0000000000000053,3.000000000000005,-4.440892098500626e-16,16669.108592769368,16733.964690323835
118,52917.0,52917.0,2.999999999999965,2.9999999999999956,3.064215547965432e-14,17498.626640963255,17498.626640963394
119,50717.0,50717.0,3.0000000000000004,2.9999999999999964,-3.9968028886505635e-15,16168.847539192182,16168.483039192144
120,48078.75,48078.75,2.999999999999991,2.9999999999999996,8.43769498715119e-15,18333.606964086855,18158.643358179528
121,45746.25,45746.25,2.9999999999999885,3.0,1.1546319456101628e-14,21719.421479681252,22032.726964694033
122,43953.75,43953.75,2.9999999999999862,3.000000000000004,1.7763568394002505e-14,24492.28514319065,24976.61212093575
123,42914.75,42914.75,2.999999999999986,2.999999999999999,1.3322676295501878e-14,27584.317462918087,27831.61195061464
124,43933.25,43933.25,3.0000000000000973,3.0000000000000013,-9.592326932761353e-14,30070.698149270123,30224.598565766628
125,44924.75,44924.75,2.9999999999999516,2.9999999999999996,4.796163466380676e-14,31619.748360440793,31661.160711386805
126,47876.5,47876.5,2.9999999999999964,3.0000000000000004,3.9968028886505635e-15,32207.66762066387,32230.07873683642
127,52380.75,52380.75,2.9999999999999956,3.0000000000000044,8.881784197001252e-15,31962.960901561888,32237.407668480857
128,56023.0,56023.0,3.0,2.999999999999999,-8.881784197001252e-16,31258.762556829075,31196.639211516
129,59057.75,59057.75,3.0000000000000027,2.9999999999999982,-4.440892098500626e-15,28583.603267619557,29080.686949972103
130,61080.25,61080.25,2.9999999999999964,2.999999999999998,1.3322676295501878e-15,29774.750685393654,29980.27691975222
131,62749.75,62749.75,3.0,3.0000000000000018,1.7763568394002505e-15,32659.06322208772,32637.68912174982
132,63634.25,63634.25,3.0,3.000000000000003,3.1086244689504383e-15,35682.214674381314,35747.01030669837
133,63779.25,63779.25,2.9999999999999996,2.999999999999996,-3.552713678800501e-15,37131.55879328991,37115.99822856567
134,63185.0,63185.0,2.9999999999999845,2.9999999999999996,1.509903313490213e-14,36622.3578894517,36424.67161758369
135,61383.5,61383.5,3.0000000000000013,3.0000000000000004,-8.881784197001252e-16,36443.883132990115,34903.45275293716
136,60782.75,60782.75,2.9999999999999383,2.9999999999999982,5.995204332975845e-14,33636.94191966408,33707.01967701454
137,61636.25,61636.25,2.999999999999966,3.000000000000001,3.5083047578154947e-14,33190.40132419196,33062.52059666348
138,64030.75,64030.75,3.000000000000027,2.9999999999999996,-2.7533531010703882e-14,31042.510997151785,30741.187650678807
139,63561.0,63561.0,2.99999999999999,2.999999999999999,9.325873406851315e-15,26964.242379364638,27133.47086215725
140,62612.75,62612.75,3.000000000000003,3.0,-3.1086244689504383e-15,28760.15874682517,28601.64229162314
141,59907.5,59907.5,3.0000000000000044,3.000000000000006,1.7763568394002505e-15,29857.478452765536,30021.246396299855
142,56590.5,56590.5,3.00000000000001,3.0,-1.021405182655144e-14,29361.016927913253,29170.284715973787
143,53834.75,53834.75,3.0000000000000475,3.000000000000002,-4.529709940470639e-14,26170.577289762998,26346.25852355008
144,51009.25,51009.25,3.0000000000000204,3.0000000000000004,-1.9984014443252818e-14,27685.40208740799,27464.53757822016
145,48570.5,48570.5,2.999999999999962,2.999999999999996,3.419486915845482e-14,28387.5137152048,29480.37650131268
146,47569.25,47569.25,2.99999999999995,2.9999999999999987,4.884981308350689e-14,28067.32170132879,28576.41313556488
147,46711.25,46711.25,3.0000000000000204,3.0000000000000004,-1.9984014443252818e-14,28153.788181804783,28254.997206168948
148,46944.5,46944.5,3.0000000000000058,2.9999999999999982,-7.549516567451064e-15,27801.971725426312,27780.391357673456
149,48385.75,48385.75,2.9999999999999964,2.999999999999996,-4.440892098500626e-16,26807.6074232671,26081.259546284804
150,51117.75,51117.75,2.999999999999955,2.9999999999999982,4.3076653355456074e-14,24834.244825992762,23556.28254933326
151,58739.75,58739.75,2.9999999999999907,3.0,9.325873406851315e-15,21802.675332649553,22508.813523549936
152,64761.5,64761.5,6.5085041173779015,5.450889883972229,-1.0576142334056726,19141.431528200686,18702.00194266413
153,68200.75,68200.75,7.035439522790113,6.791004852706644,-0.24443467008346875,17999.361759865547,17547.236432745813
154,68662.0,68662.0,7.060243092377123,6.824889748873649,-0.2353533435034736,16878.013398593244,16491.576974971074
155,68408.25,68408.25,7.010835319538001,6.76324957231523,-0.2475857472227707,17426.535849850665,17051.827923630077
156,68895.25,68895.25,6.5282899742105736,6.170661938784902,-0.35762803542567134,19108.741984300468,18715.129727788466
157,69011.5,69011.5,6.165761596855074,6.05324618493166,-0.11251541192341374,19720.09539171777,19405.691732137828
158,68628.0,68628.0,6.75873203756069,6.474043834548629,-0.28468820301206055,19425.856984087444,18942.20760226555
159,67788.25,67788.25,7.028798715603972,6.802184669968939,-0.22661404563503318,17329.108060200862,16955.676378654818
160,67148.0,67148.0,7.12047874106292,6.892208221537868,-0.22827051952505162,15287.554411750896,14768.32870180415
161,68663.75,68663.75,7.089951608289498,6.864064613791866,-0.22588699449763183,15435.517761016612,15014.316775056815
162,70906.99999999999,70906.99999999999,7.058378016575957,6.833372568718848,-0.22500544785710908,16001.119412833375,15508.515973661573
163,70520.5,70520.5,7.058969441642492,6.833942429776973,-0.2250270118655191,16355.274303799375,15593.509618328437
164,68342.5,68342.5,7.060322918299367,6.836467585744118,-0.22385533255524948,15856.463639716476,15247.847180905621
165,65254.25,65254.25,7.074166901933329,6.843703079724855,-0.23046382220847406,17032.34607778233,16418.12145299688
166,62170.5,62170.5,6.610201822434058,6.214271833063659,-0.3959299893703987,18255.194954147937,17734.737690840477
167,58966.5,58966.5,5.256132924126522,4.97318448574169,-0.28294843838483175,17145.584946652267,16878.257290486286
168,54865.75,54865.75,4.652755606294992,4.324324093651399,-0.3284315126435926,17460.98370493974,16972.065049839694
